flag_id,mdr_id,source_system,source_native_id,field_name,flag_type,flag_detail,original_value,suggested_value,resolved,resolved_by,resolved_at
DQF-0001,PROJ1-ALPHAENG-ZZ-DR-EL-000001,Windchill,WCA-000014,author,MISSING_MANDATORY_FIELD,wc_author is blank. Author is mandatory for document traceability. Please fill this field in the DC remediation queue.,,,False,,
DQF-0002,PROJ1-BETAKONS-ZZ-SH-IN-000006,Windchill,WCB-000004,author,MISSING_MANDATORY_FIELD,wc_author is blank. Author is mandatory for document traceability. Please fill this field in the DC remediation queue.,,,False,,
DQF-0003,PROJ1-BETAKONS-ZZ-RP-ME-000010,Windchill,WCB-000007,discipline,NORMALISATION_REQUIRED,"wc_discipline_code 'MECHANICAL' is not a standard Windchill code. Expected one of: MECH, ELEC, INST, CIVIL. Mapped to 'Mechanical' with MEDIUM confidence — please confirm.",MECHANICAL,Mechanical,False,,
DQF-0004,PROJ1-BETAKONS-ZZ-DR-ME-000011,Windchill,WCB-000008,discipline,NORMALISATION_REQUIRED,"wc_discipline_code 'MECHANICAL' is not a standard Windchill code. Expected one of: MECH, ELEC, INST, CIVIL. Mapped to 'Mechanical' with MEDIUM confidence — please confirm.",MECHANICAL,Mechanical,False,,
DQF-0005,PROJ1-BETAKONS-ZZ-DR-CI-000007,Windchill,WCB-000011,author,MISSING_MANDATORY_FIELD,wc_author is blank. Author is mandatory for document traceability. Please fill this field in the DC remediation queue.,,,False,,
DQF-0006,PROJ1-GAMMAEPC-ZZ-RP-IN-000008,SharePoint,4508,discipline,NORMALISATION_REQUIRED,sp_department 'Instrumentation & Control' does not match canonical discipline vocabulary. Mapped to 'Instrumentation' via lookup table — please confirm.,Instrumentation & Control,Instrumentation,False,,
DQF-0007,PROJ1-GAMMAEPC-ZZ-RP-IN-000008,SharePoint,4508,revision,REVISION_FORMAT_MISMATCH,SharePoint version '1.0' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'A' — minor version detail is lost.,1.0,A,False,,
DQF-0008,PROJ1-GAMMAEPC-ZZ-RP-IN-000008,SharePoint,4508,originator_company,MISSING_MANDATORY_FIELD,sp_company is blank. Originator company is required for ISO 19650 compliance. Please fill this field in the DC remediation queue.,,,False,,
DQF-0009,PROJ1-GAMMAEPC-ZZ-RP-CI-000008,SharePoint,4516,discipline,NORMALISATION_REQUIRED,sp_department 'Civil & Structural' does not match canonical discipline vocabulary. Mapped to 'Civil' via lookup table — please confirm.,Civil & Structural,Civil,False,,
DQF-0010,PROJ1-GAMMAEPC-ZZ-RP-CI-000008,SharePoint,4516,revision,REVISION_FORMAT_MISMATCH,SharePoint version '1.0' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'A' — minor version detail is lost.,1.0,A,False,,
DQF-0011,PROJ1-GAMMAEPC-ZZ-DR-ME-000012,SharePoint,4525,revision,REVISION_FORMAT_MISMATCH,SharePoint version '2.0' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'B' — minor version detail is lost.,2.0,B,False,,
DQF-0012,PROJ1-GAMMAEPC-ZZ-DR-ME-000012,SharePoint,4525,author,MISSING_MANDATORY_FIELD,sp_created_by is blank. Author is mandatory for document traceability. Please fill this field in the DC remediation queue.,,,False,,
DQF-0013,PROJ1-GAMMAEPC-ZZ-DS-IN-000009,SharePoint,4534,discipline,NORMALISATION_REQUIRED,sp_department 'Instrumentation & Control' does not match canonical discipline vocabulary. Mapped to 'Instrumentation' via lookup table — please confirm.,Instrumentation & Control,Instrumentation,False,,
DQF-0014,PROJ1-GAMMAEPC-ZZ-DS-IN-000009,SharePoint,4534,revision,REVISION_FORMAT_MISMATCH,SharePoint version '1.0' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'A' — minor version detail is lost.,1.0,A,False,,
DQF-0015,PROJ1-GAMMAEPC-ZZ-DR-CI-000009,SharePoint,4536,discipline,NORMALISATION_REQUIRED,sp_department 'Civil & Structural' does not match canonical discipline vocabulary. Mapped to 'Civil' via lookup table — please confirm.,Civil & Structural,Civil,False,,
DQF-0016,PROJ1-GAMMAEPC-ZZ-DR-CI-000009,SharePoint,4536,revision,REVISION_FORMAT_MISMATCH,SharePoint version '1.0' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'A' — minor version detail is lost.,1.0,A,False,,
DQF-0017,PROJ1-GAMMAEPC-ZZ-DS-ME-000013,SharePoint,4546,revision,REVISION_FORMAT_MISMATCH,SharePoint version '1.0' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'A' — minor version detail is lost.,1.0,A,False,,
DQF-0018,PROJ1-GAMMAEPC-ZZ-RP-CI-000010,SharePoint,4553,discipline,NORMALISATION_REQUIRED,sp_department 'Civil & Structural' does not match canonical discipline vocabulary. Mapped to 'Civil' via lookup table — please confirm.,Civil & Structural,Civil,False,,
DQF-0019,PROJ1-GAMMAEPC-ZZ-RP-CI-000010,SharePoint,4553,revision,REVISION_FORMAT_MISMATCH,SharePoint version '1.1' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'A' — minor version detail is lost.,1.1,A,False,,
DQF-0020,PROJ1-GAMMAEPC-ZZ-DR-ME-000014,SharePoint,4558,revision,REVISION_FORMAT_MISMATCH,SharePoint version '1.0' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'A' — minor version detail is lost.,1.0,A,False,,
DQF-0021,PROJ1-GAMMAEPC-ZZ-DS-ME-000015,SharePoint,4564,revision,REVISION_FORMAT_MISMATCH,SharePoint version '1.0' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'A' — minor version detail is lost.,1.0,A,False,,
DQF-0022,PROJ1-GAMMAEPC-ZZ-SH-CI-000011,SharePoint,4565,discipline,NORMALISATION_REQUIRED,sp_department 'Civil & Structural' does not match canonical discipline vocabulary. Mapped to 'Civil' via lookup table — please confirm.,Civil & Structural,Civil,False,,
DQF-0023,PROJ1-GAMMAEPC-ZZ-SH-CI-000011,SharePoint,4565,revision,REVISION_FORMAT_MISMATCH,SharePoint version '1.0' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'A' — minor version detail is lost.,1.0,A,False,,
DQF-0024,PROJ1-GAMMAEPC-ZZ-DS-ME-000016,SharePoint,4570,revision,REVISION_FORMAT_MISMATCH,SharePoint version '1.0' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'A' — minor version detail is lost.,1.0,A,False,,
DQF-0025,PROJ1-GAMMAEPC-ZZ-DS-ME-000017,SharePoint,4579,revision,REVISION_FORMAT_MISMATCH,SharePoint version '1.0' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'A' — minor version detail is lost.,1.0,A,False,,
DQF-0026,PROJ1-GAMMAEPC-ZZ-DS-ME-000017,SharePoint,4579,author,MISSING_MANDATORY_FIELD,sp_created_by is blank. Author is mandatory for document traceability. Please fill this field in the DC remediation queue.,,,False,,
DQF-0027,PROJ1-GAMMAEPC-ZZ-RP-IN-000010,SharePoint,4586,discipline,NORMALISATION_REQUIRED,sp_department 'Instrumentation & Control' does not match canonical discipline vocabulary. Mapped to 'Instrumentation' via lookup table — please confirm.,Instrumentation & Control,Instrumentation,False,,
DQF-0028,PROJ1-GAMMAEPC-ZZ-RP-IN-000010,SharePoint,4586,revision,REVISION_FORMAT_MISMATCH,SharePoint version '2.0' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'B' — minor version detail is lost.,2.0,B,False,,
DQF-0029,PROJ1-GAMMAEPC-ZZ-DR-EL-000006,SharePoint,4587,revision,REVISION_FORMAT_MISMATCH,SharePoint version '1.1' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'A' — minor version detail is lost.,1.1,A,False,,
DQF-0030,PROJ1-GAMMAEPC-ZZ-SH-IN-000011,SharePoint,4595,discipline,NORMALISATION_REQUIRED,sp_department 'Instrumentation & Control' does not match canonical discipline vocabulary. Mapped to 'Instrumentation' via lookup table — please confirm.,Instrumentation & Control,Instrumentation,False,,
DQF-0031,PROJ1-GAMMAEPC-ZZ-SH-IN-000011,SharePoint,4595,revision,REVISION_FORMAT_MISMATCH,SharePoint version '1.0' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'A' — minor version detail is lost.,1.0,A,False,,
DQF-0032,PROJ1-GAMMAEPC-ZZ-SH-IN-000011,SharePoint,4595,originator_company,MISSING_MANDATORY_FIELD,sp_company is blank. Originator company is required for ISO 19650 compliance. Please fill this field in the DC remediation queue.,,,False,,
DQF-0033,PROJ1-GAMMAEPC-ZZ-RP-IN-000012,SharePoint,4597,discipline,NORMALISATION_REQUIRED,sp_department 'Instrumentation & Control' does not match canonical discipline vocabulary. Mapped to 'Instrumentation' via lookup table — please confirm.,Instrumentation & Control,Instrumentation,False,,
DQF-0034,PROJ1-GAMMAEPC-ZZ-RP-IN-000012,SharePoint,4597,revision,REVISION_FORMAT_MISMATCH,SharePoint version '1.1' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'A' — minor version detail is lost.,1.1,A,False,,
DQF-0035,PROJ1-GAMMAEPC-ZZ-RP-CI-000012,SharePoint,4608,discipline,NORMALISATION_REQUIRED,sp_department 'Civil & Structural' does not match canonical discipline vocabulary. Mapped to 'Civil' via lookup table — please confirm.,Civil & Structural,Civil,False,,
DQF-0036,PROJ1-GAMMAEPC-ZZ-RP-CI-000012,SharePoint,4608,revision,REVISION_FORMAT_MISMATCH,SharePoint version '1.0' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'A' — minor version detail is lost.,1.0,A,False,,
DQF-0037,PROJ1-GAMMAEPC-ZZ-DR-EL-000007,SharePoint,4614,revision,REVISION_FORMAT_MISMATCH,SharePoint version '1.1' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'A' — minor version detail is lost.,1.1,A,False,,
DQF-0038,PROJ1-GAMMAEPC-ZZ-DS-ME-000018,SharePoint,4626,revision,REVISION_FORMAT_MISMATCH,SharePoint version '1.0' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'A' — minor version detail is lost.,1.0,A,False,,
DQF-0039,PROJ1-GAMMAEPC-ZZ-DR-CI-000013,SharePoint,4638,discipline,NORMALISATION_REQUIRED,sp_department 'Civil & Structural' does not match canonical discipline vocabulary. Mapped to 'Civil' via lookup table — please confirm.,Civil & Structural,Civil,False,,
DQF-0040,PROJ1-GAMMAEPC-ZZ-DR-CI-000013,SharePoint,4638,revision,REVISION_FORMAT_MISMATCH,SharePoint version '1.1' uses decimal format (major.minor). Canonical revision format is alphabetic (A/B/C). Normalised to 'A' — minor version detail is lost.,1.1,A,False,,
DQF-0041,PROJ1-DELTATECH-ZZ-CT-ME-000019,Aveva,AVA-000001,revision,REVISION_FORMAT_MISMATCH,Aveva revision_no '0' uses integer format (0=first issue). Canonical revision format is alphabetic (A/B/C). Normalised to 'A'.,0,A,False,,
DQF-0042,PROJ1-DELTATECH-ZZ-SH-ME-000020,Aveva,AVA-000002,revision,REVISION_FORMAT_MISMATCH,Aveva revision_no '0' uses integer format (0=first issue). Canonical revision format is alphabetic (A/B/C). Normalised to 'A'.,0,A,False,,
DQF-0043,PROJ1-DELTATECH-ZZ-SH-ME-000020,Aveva,AVA-000002,confidentiality_class,NORMALISATION_REQUIRED,Aveva security class 'Highly Confidential' has no direct canonical equivalent. Mapped to 'CONFIDENTIAL' — DC should confirm if a higher classification applies.,Highly Confidential,CONFIDENTIAL,False,,
DQF-0044,PROJ1-DELTATECH-ZZ-RP-IN-000013,Aveva,AVA-000003,discipline,NORMALISATION_REQUIRED,aveva_discipline 'I&C' does not match canonical discipline vocabulary. Mapped to 'Instrumentation' with MEDIUM confidence — please confirm.,I&C,Instrumentation,False,,
DQF-0045,PROJ1-DELTATECH-ZZ-RP-IN-000013,Aveva,AVA-000003,revision,REVISION_FORMAT_MISMATCH,Aveva revision_no '1' uses integer format (0=first issue). Canonical revision format is alphabetic (A/B/C). Normalised to 'B'.,1,B,False,,
DQF-0046,PROJ1-DELTATECH-ZZ-RP-IN-000013,Aveva,AVA-000003,confidentiality_class,NORMALISATION_REQUIRED,Aveva security class 'Highly Confidential' has no direct canonical equivalent. Mapped to 'CONFIDENTIAL' — DC should confirm if a higher classification applies.,Highly Confidential,CONFIDENTIAL,False,,
DQF-0047,PROJ1-DELTATECH-ZZ-RP-IN-000014,Aveva,AVA-000004,discipline,NORMALISATION_REQUIRED,aveva_discipline 'I&C' does not match canonical discipline vocabulary. Mapped to 'Instrumentation' with MEDIUM confidence — please confirm.,I&C,Instrumentation,False,,
DQF-0048,PROJ1-DELTATECH-ZZ-RP-IN-000014,Aveva,AVA-000004,revision,REVISION_FORMAT_MISMATCH,Aveva revision_no '1' uses integer format (0=first issue). Canonical revision format is alphabetic (A/B/C). Normalised to 'B'.,1,B,False,,
DQF-0049,PROJ1-DELTATECH-ZZ-RP-IN-000014,Aveva,AVA-000004,confidentiality_class,NORMALISATION_REQUIRED,Aveva security class 'Highly Confidential' has no direct canonical equivalent. Mapped to 'CONFIDENTIAL' — DC should confirm if a higher classification applies.,Highly Confidential,CONFIDENTIAL,False,,
DQF-0050,PROJ1-DELTATECH-ZZ-RP-IN-000015,Aveva,AVA-000005,discipline,NORMALISATION_REQUIRED,aveva_discipline 'I&C' does not match canonical discipline vocabulary. Mapped to 'Instrumentation' with MEDIUM confidence — please confirm.,I&C,Instrumentation,False,,
DQF-0051,PROJ1-DELTATECH-ZZ-RP-IN-000015,Aveva,AVA-000005,revision,REVISION_FORMAT_MISMATCH,Aveva revision_no '1' uses integer format (0=first issue). Canonical revision format is alphabetic (A/B/C). Normalised to 'B'.,1,B,False,,
DQF-0052,PROJ1-DELTATECH-ZZ-RP-IN-000015,Aveva,AVA-000005,confidentiality_class,NORMALISATION_REQUIRED,Aveva security class 'Highly Confidential' has no direct canonical equivalent. Mapped to 'CONFIDENTIAL' — DC should confirm if a higher classification applies.,Highly Confidential,CONFIDENTIAL,False,,
DQF-0053,PROJ1-DELTATECH-ZZ-DS-ME-000021,Aveva,AVA-000006,revision,REVISION_FORMAT_MISMATCH,Aveva revision_no '1' uses integer format (0=first issue). Canonical revision format is alphabetic (A/B/C). Normalised to 'B'.,1,B,False,,
DQF-0054,PROJ1-DELTATECH-ZZ-DS-ME-000022,Aveva,AVA-000007,revision,REVISION_FORMAT_MISMATCH,Aveva revision_no '0' uses integer format (0=first issue). Canonical revision format is alphabetic (A/B/C). Normalised to 'A'.,0,A,False,,
DQF-0055,PROJ1-DELTATECH-ZZ-SH-CI-000014,Aveva,AVA-000008,discipline,NORMALISATION_REQUIRED,aveva_discipline 'Civil & Structural' does not match canonical discipline vocabulary. Mapped to 'Civil' with MEDIUM confidence — please confirm.,Civil & Structural,Civil,False,,
DQF-0056,PROJ1-DELTATECH-ZZ-SH-CI-000014,Aveva,AVA-000008,revision,REVISION_FORMAT_MISMATCH,Aveva revision_no '0' uses integer format (0=first issue). Canonical revision format is alphabetic (A/B/C). Normalised to 'A'.,0,A,False,,
DQF-0057,PROJ1-DELTATECH-ZZ-SH-CI-000014,Aveva,AVA-000008,author,MISSING_MANDATORY_FIELD,aveva_prepared_by is blank. Author is mandatory for document traceability. Please fill this field in the DC remediation queue.,,,False,,
DQF-0058,PROJ1-DELTATECH-ZZ-SH-IN-000016,Aveva,AVA-000009,discipline,NORMALISATION_REQUIRED,aveva_discipline 'I&C' does not match canonical discipline vocabulary. Mapped to 'Instrumentation' with MEDIUM confidence — please confirm.,I&C,Instrumentation,False,,
DQF-0059,PROJ1-DELTATECH-ZZ-SH-IN-000016,Aveva,AVA-000009,revision,REVISION_FORMAT_MISMATCH,Aveva revision_no '2' uses integer format (0=first issue). Canonical revision format is alphabetic (A/B/C). Normalised to 'C'.,2,C,False,,
DQF-0060,PROJ1-DELTATECH-ZZ-SH-IN-000016,Aveva,AVA-000009,confidentiality_class,NORMALISATION_REQUIRED,Aveva security class 'Highly Confidential' has no direct canonical equivalent. Mapped to 'CONFIDENTIAL' — DC should confirm if a higher classification applies.,Highly Confidential,CONFIDENTIAL,False,,
DQF-0061,PROJ1-DELTATECH-ZZ-DR-ME-000023,Aveva,AVA-000010,revision,REVISION_FORMAT_MISMATCH,Aveva revision_no '0' uses integer format (0=first issue). Canonical revision format is alphabetic (A/B/C). Normalised to 'A'.,0,A,False,,
